,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,kmeans_log,gender,avg_budget
0,0,nm0000001,1,8.285714285714286,Fred Astaire,actor,0.92,-0.3539166626473584,0.4705467217153794,1.4065248691896688,6,4,1,14000000.0
1,1,nm0000002,5,0.4567425884510712,Lauren Bacall,actress,-0.34,0.7722423698975633,-0.2303676281635938,-0.4908827629908581,7,9,0,21920000.0
2,2,nm0000004,3,16.770664164351853,John Belushi,actor,1.22,0.2091628536251024,1.2301896681855913,1.858288591137413,6,8,1,20666666.666666668
3,3,nm0000006,1,4.061317613089509,Ingrid Bergman,actress,0.61,-0.3539166626473584,0.0923437645557879,0.9397023565103326,0,4,0,1039000.0
4,4,nm0000007,1,4.061317613089509,Humphrey Bogart,actor,0.61,-0.3539166626473584,0.0923437645557879,0.9397023565103326,0,4,1,1039000.0
5,5,nm0000008,6,4.600062287515774,Marlon Brando,actor,0.66,1.0537821280337938,0.1405766472162589,1.0149963101682902,7,9,1,37750000.0
6,6,nm0000009,3,3.5906762222222226,Richard Burton,actor,0.56,0.2091628536251024,0.05020805155772,0.8644084028523754,7,4,1,20333333.333333332
7,7,nm0000018,4,1.1286761727591037,Kirk Douglas,actor,0.05,0.4907026117613329,-0.1702105718324604,0.0964100755412097,7,9,1,7325000.0
8,8,nm0000020,1,0.525,Henry Fonda,actor,-0.28,-0.3539166626473584,-0.2242566596877513,-0.4005300186013091,0,5,1,16000000.0
9,9,nm0000022,1,51.508254615384615,Clark Gable,actor,1.71,-0.3539166626473584,4.340186302336032,2.596169336985396,3,8,1,3900000.0
10,10,nm0000023,1,8.883208138278718,Judy Garland,actress,0.95,-0.3539166626473584,0.5240393170932985,1.451701241384443,6,4,0,2777000.0
11,11,nm0000024,6,3.1862149373737374,John Gielgud,actor,0.5,1.0537821280337938,0.0139973294497462,0.7740556584628264,7,9,1,20916666.666666668
12,12,nm0000027,7,11.268103175325232,Alec Guinness,actor,1.05,1.3353218861700242,0.7375548615428198,1.602289148700358,4,0,1,14371428.57142857
13,13,nm0000030,1,4.268277117647059,Audrey Hepburn,actress,0.63,-0.3539166626473584,0.1108724924906377,0.9698199379735156,0,4,0,17000000.0
14,14,nm0000032,5,5.79597357764411,Charlton Heston,actor,0.76,0.7722423698975633,0.2476445249461335,1.165584217484205,7,9,1,8560000.0
15,15,nm0000034,4,5.92324981923559,William Holden,actor,0.77,0.4907026117613329,0.2590393476099217,1.1806430082157964,7,4,1,6700000.0
16,16,nm0000037,1,0.7419437007874016,Gene Kelly,actor,-0.13,-0.3539166626473584,-0.204834063863207,-0.1746481576274369,0,5,1,2540000.0
17,17,nm0000039,1,0.022070303030303,Deborah Kerr,actress,-1.7,-0.3539166626473584,-0.2692830891113718,-2.5388783024873,0,2,0,1650000.0
18,18,nm0000044,1,0.022070303030303,Burt Lancaster,actor,-1.7,-0.3539166626473584,-0.2692830891113718,-2.5388783024873,0,2,1,1650000.0
19,19,nm0000046,1,51.508254615384615,Vivien Leigh,actress,1.71,-0.3539166626473584,4.340186302336032,2.596169336985396,3,8,0,3900000.0
20,20,nm0000047,1,0.2459620625,Sophia Loren,actress,-0.6,-0.3539166626473584,-0.2492384455617189,-0.8824113220122366,0,7,0,80000000.0
21,21,nm0000048,1,4.061317613089509,Peter Lorre,actor,0.61,-0.3539166626473584,0.0923437645557879,0.9397023565103326,0,4,1,1039000.0
22,22,nm0000051,2,4.4081316625,James Mason,actor,0.64,-0.072376904511128,0.1233934289780548,0.9848787287051072,0,4,1,15500000.0
23,23,nm0000053,2,2.072518990178572,Robert Mitchum,actor,0.32,-0.072376904511128,-0.0857099502513701,0.5029974252941798,0,1,1,33500000.0
24,24,nm0000056,9,7.658830321356422,Paul Newman,actor,0.88,1.898401402442485,0.4144228802559647,1.3462897062633028,4,0,1,30166666.666666668
25,25,nm0000059,3,0.7391807188777406,Laurence Olivier,actor,-0.13,0.2091628536251024,-0.2050814288740697,-0.1746481576274369,7,5,1,28000000.0
26,26,nm0000060,3,1.985749847619048,Gregory Peck,actor,0.3,0.2091628536251024,-0.0934782421163062,0.4728798438309968,7,9,1,14333333.333333334
27,27,nm0000063,4,1.5975034298669468,Anthony Quinn,actor,0.2,0.4907026117613329,-0.1282372751048508,0.322291936515082,7,9,1,33500000.0
28,28,nm0000069,1,0.022070303030303,Frank Sinatra,actor,-1.7,-0.3539166626473584,-0.2692830891113718,-2.5388783024873,0,2,1,1650000.0
29,29,nm0000071,3,3.187682134171908,James Stewart,actor,0.5,0.2091628536251024,0.014128685051695,0.7740556584628264,7,4,1,2893333.3333333335
30,30,nm0000072,2,2.138177446031746,Elizabeth Taylor,actress,0.33,-0.072376904511128,-0.0798316618020106,0.5180562160257713,0,1,0,43500000.0
31,31,nm0000075,1,4.929027446808511,Spencer Tracy,actor,0.69,-0.3539166626473584,0.1700283312527594,1.0601726823630644,0,4,1,9400000.0
32,32,nm0000076,1,6.7594557,François Truffaut,actor,0.83,-0.3539166626473584,0.3339034196675391,1.2709957526053453,0,4,1,20000000.0
33,33,nm0000079,2,1.6204154142857143,Raquel Welch,actress,0.21,-0.072376904511128,-0.1261860046079947,0.3373507272466734,0,1,0,8500000.0
34,34,nm0000081,2,0.6031486666666667,Natalie Wood,actress,-0.22,-0.072376904511128,-0.2172601441798816,-0.3101772742117603,0,5,0,15500000.0
35,35,nm0000084,5,0.3932185482701525,Gong Li,actress,-0.41,0.7722423698975633,-0.2360548260545581,-0.5962942981119984,7,9,0,65400000.0
36,36,nm0000090,7,1.5697929001406925,Armin Mueller-Stahl,actor,0.2,1.3353218861700242,-0.130718151097118,0.322291936515082,4,0,1,46214285.71428572
37,37,nm0000092,21,1.5523376867385317,John Cleese,actor,0.19,5.276878500077251,-0.1322808862846843,0.3072331457834905,1,6,1,66471428.571428575
38,38,nm0000093,38,1.2777496257698906,Brad Pitt,actor,0.11,10.06305438839317,-0.1568642823781512,0.1867628199307586,1,3,1,65602631.578947365
39,39,nm0000095,12,2.6001431594843223,Woody Allen,actor,0.41,2.743020676851177,-0.0384726672581704,0.6385265418785031,4,0,1,18625000.0
40,40,nm0000096,5,0.8244186717460318,Gillian Anderson,actress,-0.09,0.7722423698975633,-0.1974502217845642,-0.114412994701071,7,9,0,24800000.0
41,41,nm0000097,1,2.4445159333333333,Pamela Anderson,actress,0.39,-0.3539166626473584,-0.0524057047322004,0.6084089604153202,0,4,0,45000000.0
42,42,nm0000098,24,1.7393799722890824,Jennifer Aniston,actress,0.24,6.121497774485943,-0.1155353126581542,0.3825270994414479,1,3,0,37479166.666666664
43,43,nm0000099,8,2.6611044676760915,Patricia Arquette,actress,0.42,1.616861644306255,-0.0330149063476357,0.6535853326100945,4,0,0,23812500.0
44,44,nm0000100,6,0.9421421044708994,Rowan Atkinson,actor,-0.03,1.0537821280337938,-0.186910645642947,-0.0240602503115221,7,9,1,44166666.666666664
45,45,nm0000101,25,1.8484207174131215,Dan Aykroyd,actor,0.27,6.4030375326221725,-0.1057730825806522,0.4277034716362224,1,3,1,41856000.0
46,46,nm0000102,19,3.892430567225502,Kevin Bacon,actor,0.59,4.71379898380479,0.0772235982642006,0.9095847750471496,1,6,1,39526315.78947368
47,47,nm0000103,9,1.3006435138361063,Fairuza Balk,actress,0.11,1.898401402442485,-0.1548146320165662,0.1867628199307586,4,0,0,25000000.0
48,48,nm0000104,34,1.3121492728981834,Antonio Banderas,actor,0.12,8.936895355848247,-0.1537845412275449,0.2018216106623501,1,3,1,70502941.1764706
49,49,nm0000105,4,1.8568894415277777,Adrienne Barbeau,actress,0.27,0.4907026117613329,-0.1050148922988808,0.4277034716362224,7,9,0,12000000.0
50,50,nm0000106,22,2.932931247822136,Drew Barrymore,actress,0.47,5.558418258213481,-0.008678722969637,0.728879286268052,1,6,0,45659090.90909091
51,51,nm0000107,12,1.4990316287692549,Kim Basinger,actress,0.18,2.743020676851177,-0.1370532858297239,0.292174355051899,4,0,0,37166666.666666664
