,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,avg_budget
0,0,nm0000033,1,0.0221641666666666,Alfred Hitchcock,director,-1.7,-0.5204078941289055,-0.2242890334088042,-2.4156363366347926,1,1200000.0
1,1,nm0000037,2,0.3793235378937007,Gene Kelly,director,-0.42,-0.0983643716640784,-0.1981833749415269,-0.5385197766678018,1,13270000.0
2,2,nm0000040,5,2.143304845934066,Stanley Kubrick,director,0.33,1.1677661957304029,-0.0692496347678983,0.5613532076878568,0,27300000.0
3,3,nm0000076,2,0.0407097452309236,François Truffaut,director,-1.4,-0.0983643716640784,-0.2229334913760885,-1.975687142892529,1,1173500.0
4,4,nm0000095,22,1.910097814516701,Woody Allen,director,0.28,8.342506077632464,-0.0862953113056124,0.4880283420641462,3,16113636.363636363
5,5,nm0000104,1,0.1337226666666666,Antonio Banderas,director,-0.89,-0.5204078941289055,-0.2161349477687819,-1.227773513530681,1,15000000.0
6,6,nm0000106,1,0.8695575333333333,Drew Barrymore,director,-0.06,-0.5204078941289055,-0.1623509643007861,-0.0105807441770857,1,15000000.0
7,7,nm0000108,8,0.8341134512262427,Luc Besson,director,-0.08,2.4338967631248845,-0.1649416595945844,-0.0399106904265699,5,58750000.0
8,8,nm0000110,7,1.266158486854257,Kenneth Branagh,director,0.1,2.011853240660057,-0.1333624234014004,0.2240588258187881,5,59571428.571428575
9,9,nm0000114,2,0.442548923076923,Steve Buscemi,director,-0.36,-0.0983643716640784,-0.1935620757540388,-0.4505299379193491,1,900000.0
10,10,nm0000115,1,0.00750125,Nicolas Cage,director,-2.0,-0.5204078941289055,-0.2253607821167244,-2.855585530377056,1,4000000.0
11,11,nm0000116,8,2.93547035057544,James Cameron,director,0.47,2.4338967631248845,-0.0113483061742254,0.7666628314342463,5,148800000.0
12,12,nm0000118,6,1.6495614819444444,John Carpenter,director,0.22,1.5898097181952302,-0.1053385538028808,0.4000385033156935,5,24166666.666666668
13,13,nm0000122,1,0.1090513333333333,Charles Chaplin,director,-0.96,-0.5204078941289055,-0.2179382363111479,-1.330428325403876,1,1500000.0
14,14,nm0000123,6,1.4546551119897195,George Clooney,director,0.16,1.5898097181952302,-0.119584740623219,0.3120486645672408,5,35333333.333333336
15,15,nm0000126,4,3.1849385651366395,Kevin Costner,director,0.5,0.7457226732655758,0.0068859403062802,0.8106577508084727,0,43750000.0
16,16,nm0000127,7,1.740736387833595,Wes Craven,director,0.24,2.011853240660057,-0.0986743552806605,0.4293684495651777,5,29142857.14285714
17,17,nm0000128,1,0.1865173777777777,Russell Crowe,director,-0.72,-0.5204078941289055,-0.2122760522499264,-0.9784689704100652,1,22500000.0
18,18,nm0000134,1,0.7494104375,Robert De Niro,director,-0.12,-0.5204078941289055,-0.1711328115721726,-0.0985705829255383,1,80000000.0
19,19,nm0000142,24,2.293216316979973,Clint Eastwood,director,0.36,9.18659312256212,-0.0582922359741708,0.6053481270620831,3,37658333.333333336
20,20,nm0000146,1,0.0757195,Ralph Fiennes,director,-1.1,-0.5204078941289055,-0.2203745421375883,-1.5357379491502658,1,10000000.0
21,21,nm0000149,3,0.8137178413580246,Jodie Foster,director,-0.09,0.3236791508007487,-0.1664324249736988,-0.054575663551312,0,22666666.666666668
22,22,nm0000154,4,4.70834039375,Mel Gibson,director,0.67,0.7457226732655758,0.1182351335517967,1.0599622939290887,0,44250000.0
23,23,nm0000158,2,5.76495395,Tom Hanks,director,0.76,-0.0983643716640784,0.1954656218254024,1.1919470520517677,1,16250000.0
24,24,nm0000163,1,1.6718288181818182,Dustin Hoffman,director,0.22,-0.5204078941289055,-0.1037109793315969,0.4000385033156935,1,11000000.0
25,25,nm0000165,14,1.1000723236411207,Ron Howard,director,0.04,4.966157897913847,-0.1455020702993296,0.1360689870703354,7,96742857.14285715
26,26,nm0000169,1,0.1518743125,Tommy Lee Jones,director,-0.82,-0.5204078941289055,-0.2148081992500016,-1.1251187016574864,1,16000000.0
27,27,nm0000180,4,5.80806855,David Lean,director,0.76,0.7457226732655758,0.1986169741717974,1.1919470520517677,0,14125000.0
28,28,nm0000184,5,40.03242749130628,George Lucas,director,1.6,1.1677661957304029,2.7001596964410566,2.4238047945301053,6,71355400.0
29,29,nm0000186,3,2.1012755777777774,David Lynch,director,0.32,0.3236791508007487,-0.0723216575356286,0.5466882345631147,0,10000000.0
30,30,nm0000200,1,0.61349572,Bill Paxton,director,-0.21,-0.5204078941289055,-0.1810671531618716,-0.2305553410482174,1,25000000.0
31,31,nm0000209,2,1.8346218238636365,Tim Robbins,director,0.26,-0.0983643716640784,-0.0918120374318207,0.458698395814662,1,21500000.0
32,32,nm0000217,21,2.1765604051902327,Martin Scorsese,director,0.34,7.920462555167637,-0.0668189040016939,0.5760181808125989,3,54019047.61904762
33,33,nm0000219,1,0.77180916,Steven Seagal,director,-0.11,-0.5204078941289055,-0.1694956337552237,-0.0839056098007962,1,50000000.0
34,34,nm0000228,1,0.0678758,Kevin Spacey,director,-1.15,-0.5204078941289055,-0.220947857497105,-1.6090628147739765,1,5000000.0
35,35,nm0000229,29,4.945169458004275,Steven Spielberg,director,0.69,11.296810734886254,0.1355455533940831,1.0892922401785727,3,65155172.4137931
36,36,nm0000230,4,2.008660604269995,Sylvester Stallone,director,0.3,0.7457226732655758,-0.0790911141483552,0.5173582883136304,0,43875000.0
37,37,nm0000231,14,2.875164191140341,Oliver Stone,director,0.46,4.966157897913847,-0.0157562319589449,0.7519978583095043,7,42150000.0
38,38,nm0000233,12,2.5692638701305954,Quentin Tarantino,director,0.41,4.1220708529841925,-0.0381152401458942,0.6786729926857937,7,45850000.0
39,39,nm0000243,4,1.59181834,Denzel Washington,director,0.2,0.7457226732655758,-0.1095591423240509,0.3707085570662093,0,19125000.0
40,40,nm0000247,5,1.1079175493311038,John Woo,director,0.05,1.1677661957304029,-0.1449286434233728,0.1507339601950775,0,88000000.0
41,41,nm0000255,4,1.693998544875278,Ben Affleck,director,0.23,0.7457226732655758,-0.1020905393823832,0.4147034764404356,0,41375000.0
42,42,nm0000257,1,7.758099384615384,Alan Alda,director,0.89,-0.5204078941289055,0.341149532660286,1.3825917026734151,1,6500000.0
43,43,nm0000264,4,0.785426003997421,Pedro Almodóvar,director,-0.1,0.7457226732655758,-0.1685003450761737,-0.0692406366760541,0,9050000.0
44,44,nm0000265,7,4.724507873573815,Robert Altman,director,0.67,2.011853240660057,0.1194168544880473,1.0599622939290887,5,13357142.857142856
45,45,nm0000269,4,0.7725224425653595,Jean-Jacques Annaud,director,-0.11,0.7457226732655758,-0.1694434981750261,-0.0839056098007962,0,59875000.0
46,46,nm0000277,4,1.4321395654690137,Richard Attenborough,director,0.16,0.7457226732655758,-0.1212304573956903,0.3120486645672408,0,24750000.0
47,47,nm0000316,6,16.454676563093468,Mel Brooks,director,1.22,1.5898097181952302,0.9768037866021552,1.866535815789905,5,7816666.666666667
48,48,nm0000318,15,2.112870125869697,Tim Burton,director,0.32,5.388201420378674,-0.071474183447156,0.5466882345631147,3,70266666.66666667
49,49,nm0000338,12,3.4226898747587677,Francis Ford Coppola,director,0.53,4.1220708529841925,0.0242637693348732,0.8546526701826991,7,26925000.0
50,50,nm0000343,7,0.6214638706139105,David Cronenberg,director,-0.21,2.011853240660057,-0.1804847414003436,-0.2305553410482174,5,21236000.0
51,51,nm0000361,13,1.3683094783228784,Brian De Palma,director,0.14,4.54411437544902,-0.1258959557396056,0.2827187183177566,7,33761538.461538464
52,52,nm0000362,4,0.6103970730357142,Danny DeVito,director,-0.21,0.7457226732655758,-0.1812936409034151,-0.2305553410482174,0,37500000.0
53,53,nm0000369,1,0.0204112571428571,Matt Dillon,director,-1.7,-0.5204078941289055,-0.2244171578849881,-2.4156363366347926,1,17500000.0
