,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,kmeans_log,gender
55,nm0000113,27,1.9825048935833554,Sandra Bullock,actress,0.3,6.966117048894634,-0.09376875726136794,0.4728798438309968,1,3,0
56,nm0000114,32,1.226075759564886,Steve Buscemi,actor,0.09,8.373815839575785,-0.16149055460614697,0.15664523846757566,1,3,1
57,nm0000115,39,0.9994867258881376,Nicolas Cage,actor,0.0,10.3445941465294,-0.18177668046923595,0.021116121883252334,1,3,1
58,nm0000117,11,1.3485532483449882,Neve Campbell,actress,0.13,2.4614809187149462,-0.15052535601523573,0.2168804013939416,4,0,0
59,nm0000119,5,1.9955626133043478,Tia Carrere,actress,0.3,0.7722423698975633,-0.0925997221079594,0.4728798438309968,7,9,0
60,nm0000120,28,2.217632944677755,Jim Carrey,actor,0.35,7.2476568070308645,-0.07271814787817751,0.5481737974889542,1,3,1
61,nm0000121,4,5.365619532272728,Phoebe Cates,actress,0.73,0.4907026117613329,0.20911566859138214,1.1204078452894304,7,4,0
62,nm0000122,1,0.10905133333333333,Charles Chaplin,actor,-0.96,-0.35391666264735844,-0.26149582730175713,-1.42452778834953,0,7,1
63,nm0000123,32,1.424896619661643,George Clooney,actor,0.15,8.373815839575785,-0.14369046549025302,0.24699798285712454,1,3,1
64,nm0000124,18,0.943808246189238,Jennifer Connelly,actress,-0.03,4.43225922566856,-0.18676147884499789,-0.024060250311522112,1,6,0
65,nm0000125,21,4.287374793765592,Sean Connery,actor,0.63,5.276878500077251,0.11258227453589666,0.9698199379735156,1,6,1
66,nm0000126,28,1.8537246584498526,Kevin Costner,actor,0.27,7.2476568070308645,-0.10529822987619603,0.4277034716362224,1,3,1
67,nm0000128,28,0.901792543325538,Russell Crowe,actor,-0.05,7.2476568070308645,-0.19052307234618693,-0.054177831774705074,1,3,1
68,nm0000129,37,2.227326682922764,Tom Cruise,actor,0.35,9.781514630256938,-0.07185028419152346,0.5481737974889542,1,3,1
69,nm0000130,17,3.2933579232279215,Jamie Lee Curtis,actress,0.52,4.150719467532329,0.02358965640889585,0.8041732399260094,1,6,0
70,nm0000131,24,1.0020649166636637,John Cusack,actor,0.0,6.121497774485943,-0.18154585949029137,0.021116121883252334,1,3,1
71,nm0000132,11,1.1604116043204722,Claire Danes,actress,0.06,2.4614809187149462,-0.16736935331218641,0.11146886627280123,4,0,0
72,nm0000133,7,3.139680446596364,Geena Davis,actress,0.5,1.3353218861700242,0.009831176650704472,0.7740556584628264,4,0,0
73,nm0000134,58,1.766192396269103,Robert De Niro,actor,0.25,15.693849551117777,-0.11313484252627153,0.3975858901730394,1,3,1
74,nm0000136,35,1.0433884286073267,Johnny Depp,actor,0.02,9.218435113984478,-0.17784623664980598,0.0512337033464353,1,3,1
75,nm0000137,1,2.295480066666667,Bo Derek,actress,0.36,-0.35391666264735844,-0.06574862914586671,0.5632325882205457,0,1,0
76,nm0000138,22,1.3310925838581043,Leonardo DiCaprio,actor,0.12,5.558418258213481,-0.15208857922902733,0.2018216106623501,1,6,1
77,nm0000139,27,2.304825120584953,Cameron Diaz,actress,0.36,6.966117048894634,-0.06491198256634094,0.5632325882205457,1,3,0
78,nm0000140,18,1.7193047558481895,Michael Douglas,actor,0.24,4.43225922566856,-0.11733261220456427,0.3825270994414479,1,6,1
79,nm0000141,8,0.7614738484871032,David Duchovny,actor,-0.12,1.6168616443062547,-0.2030855633822611,-0.15958936689584544,4,0,1
80,nm0000142,15,3.228747657073733,Clint Eastwood,actor,0.51,3.587639951259868,0.01780521057767625,0.7891144491944179,4,6,1
81,nm0000143,2,21.706546958095238,Erika Eleniak,actress,1.34,-0.072376904511128,1.672090752163816,2.038994079916511,6,8,0
82,nm0000144,17,4.304927226405511,Cary Elwes,actor,0.63,4.150719467532329,0.11415371359434982,0.9698199379735156,1,6,1
83,nm0000146,29,1.1815959563752785,Ralph Fiennes,actor,0.07,7.529196565167094,-0.16547275476485834,0.12652765700439272,1,3,1
84,nm0000147,26,1.3162742537287184,Colin Firth,actor,0.12,6.684577290758403,-0.153415238799474,0.2018216106623501,1,3,1
85,nm0000148,37,3.576860427173362,Harrison Ford,actor,0.55,9.781514630256938,0.04897114722606704,0.8493496121207839,1,3,1
86,nm0000149,17,2.0167958625265916,Jodie Foster,actress,0.31,4.150719467532329,-0.09069874588146086,0.4879386345625883,1,6,0
87,nm0000150,9,2.3715694270583043,Michael J. Fox,actor,0.37,1.8984014024424851,-0.05893647978144189,0.5782913789521372,4,0,1
88,nm0000151,46,2.3106418338172316,Morgan Freeman,actor,0.36,12.315372453483013,-0.06439122225051806,0.5632325882205457,1,3,1
89,nm0000152,20,2.8940651129394257,Richard Gere,actor,0.46,4.995338741941021,-0.012158341074930006,0.7138204955364605,1,6,1
90,nm0000153,8,1.3807188756944444,Gina Gershon,actress,0.14,1.6168616443062547,-0.14764562280710897,0.2319391921255331,4,0,0
91,nm0000154,24,4.038118642471844,Mel Gibson,actor,0.61,6.121497774485943,0.09026680067890659,0.9397023565103326,1,3,1
92,nm0000155,13,2.4192897403456195,Whoopi Goldberg,actress,0.38,3.024560434987407,-0.054664162335781454,0.5933501696837287,4,6,0
93,nm0000156,19,1.7299111926563286,Jeff Goldblum,actor,0.24,4.71379898380479,-0.11638303618776656,0.3825270994414479,1,6,1
94,nm0000157,6,1.5828407296265832,Linda Hamilton,actress,0.2,1.0537821280337938,-0.12955000139942122,0.322291936515082,7,9,0
95,nm0000158,35,2.334829882758211,Tom Hanks,actor,0.37,9.218435113984478,-0.06222570789513549,0.5782913789521372,1,3,1
96,nm0000159,6,1.4525078875607729,Teri Hatcher,actress,0.16,1.0537821280337938,-0.14121847623838,0.26205677358871604,7,9,0
97,nm0000160,24,2.8410792149282487,Ethan Hawke,actor,0.45,6.121497774485943,-0.016902077250428037,0.6987617048048691,1,3,1
98,nm0000161,23,1.403023102655978,Salma Hayek,actress,0.15,5.839958016349712,-0.14564876378847677,0.24699798285712454,1,3,0
99,nm0000162,12,1.530321243584071,Anne Heche,actress,0.18,2.743020676851177,-0.13425198051480536,0.292174355051899,4,0,0
100,nm0000163,25,2.7948973890123465,Dustin Hoffman,actor,0.45,6.4030375326221725,-0.02103665657192232,0.6987617048048691,1,3,1
101,nm0000164,33,1.2100703245998687,Anthony Hopkins,actor,0.08,8.655355597712017,-0.16292349362762243,0.1415864477359842,1,3,1
102,nm0000165,2,74.09969479543115,Ron Howard,actor,1.87,-0.072376904511128,6.36275902566857,2.8371099886908597,3,8,1
103,nm0000166,8,2.6161300261352496,Helen Hunt,actress,0.42,1.6168616443062547,-0.03704139062586971,0.6535853326100945,4,0,0
104,nm0000167,5,2.173847325440613,Elizabeth Hurley,actress,0.34,0.7722423698975633,-0.07663819894342509,0.5331150067573628,7,9,0
105,nm0000168,63,1.837035470909732,Samuel L. Jackson,actor,0.26,17.10154834179893,-0.10679238408788912,0.4126446809046309,1,3,1
106,nm0000169,26,1.542921436660181,Tommy Lee Jones,actor,0.19,6.684577290758403,-0.13312390693377832,0.3072331457834905,1,3,1
107,nm0000170,18,0.842644920531176,Milla Jovovich,actress,-0.08,4.43225922566856,-0.195818457127344,-0.09935420396947953,1,6,0
108,nm0000171,18,1.4136371735895894,Ashley Judd,actress,0.15,4.43225922566856,-0.14469850430157605,0.24699798285712454,1,6,0
109,nm0000172,15,1.3909687324835494,Harvey Keitel,actor,0.14,3.587639951259868,-0.14672797078517108,0.2319391921255331,4,6,1
110,nm0000173,39,0.9264064099397333,Nicole Kidman,actress,-0.03,10.3445941465294,-0.18831943526803435,-0.024060250311522112,1,3,0
111,nm0000174,25,1.217436237180811,Val Kilmer,actor,0.09,6.4030375326221725,-0.1622640361627626,0.15664523846757566,1,3,1
112,nm0000175,1,2.628594375,Stephen King,actor,0.42,-0.35391666264735844,-0.03592547894308061,0.6535853326100945,0,4,1
113,nm0000176,3,0.15064420327515624,Nastassja Kinski,actress,-0.82,0.20916285362510245,-0.25777208930369233,-1.2137047181072491,7,7,0
114,nm0000177,19,1.0134870298905654,Kevin Kline,actor,0.0,4.71379898380479,-0.180523257368805,0.021116121883252334,1,6,1
115,nm0000178,20,1.4208262567110712,Diane Lane,actress,0.15,4.995338741941021,-0.14405487807361553,0.24699798285712454,1,6,0
116,nm0000179,29,0.8557372948755643,Jude Law,actor,-0.07,7.529196565167094,-0.19464631940519883,-0.08429541323788804,1,3,1
117,nm0000181,3,1.1842657699999999,Heather Locklear,actress,0.07,0.20916285362510245,-0.1652337309500547,0.12652765700439272,7,9,0
118,nm0000182,22,1.7474682583912695,Jennifer Lopez,actress,0.24,5.558418258213481,-0.11481118233629711,0.3825270994414479,1,6,0
119,nm0000183,1,1.5575048444444444,Traci Lords,actress,0.19,-0.35391666264735844,-0.1318182795562135,0.3072331457834905,0,1,0
120,nm0000185,11,1.2016045418878682,Dolph Lundgren,actor,0.08,2.4614809187149462,-0.16368142057068094,0.1415864477359842,4,0,1
121,nm0000187,8,0.9818382887274932,Madonna,actress,-0.01,1.6168616443062547,-0.18335671464705233,0.006057331151660851,4,0,0
122,nm0000188,18,1.4528436719882487,Steve Martin,actor,0.16,4.43225922566856,-0.14118841403700993,0.26205677358871604,1,6,1
123,nm0000189,3,1.0022767303454714,Jenny McCarthy-Wahlberg,actress,0.0,0.20916285362510245,-0.1815268961762291,0.021116121883252334,7,9,0
124,nm0000190,31,1.744591513828018,Matthew McConaughey,actor,0.24,8.092276081439556,-0.11506873232156839,0.3825270994414479,1,3,1
125,nm0000191,29,1.1299621423244728,Ewan McGregor,actor,0.05,7.529196565167094,-0.17009544119248252,0.09641007554120976,1,3,1
126,nm0000192,3,1.6204332107843138,Alyssa Milano,actress,0.21,0.20916285362510245,-0.12618441131813132,0.3373507272466734,7,9,0
127,nm0000193,14,2.2232498950910364,Demi Moore,actress,0.35,3.306100193123638,-0.07221527198342831,0.5481737974889542,4,6,0
128,nm0000194,31,1.3435417029662784,Julianne Moore,actress,0.13,8.092276081439556,-0.15097403104010973,0.2168804013939416,1,3,0
129,nm0000195,31,2.4790763980244233,Bill Murray,actor,0.39,8.092276081439556,-0.049311565862221025,0.6084089604153202,1,3,1
130,nm0000196,13,3.1078310750972475,Mike Myers,actor,0.49,3.024560434987407,0.006979757284076677,0.7589968677312349,4,6,1
131,nm0000197,19,3.2444322792013476,Jack Nicholson,actor,0.51,4.71379898380479,0.019209427778450822,0.7891144491944179,1,6,1
132,nm0000198,32,1.2094235545189016,Gary Oldman,actor,0.08,8.373815839575785,-0.16298139783884605,0.1415864477359842,1,3,1
133,nm0000199,24,2.242930908379345,Al Pacino,actor,0.35,6.121497774485943,-0.0704532647662153,0.5481737974889542,1,3,1
134,nm0000200,16,1.7045007295879921,Bill Paxton,actor,0.23,3.8691797093960987,-0.11865799117424235,0.3674683087098564,4,6,1
135,nm0000201,22,1.1915102684587284,Michelle Pfeiffer,actress,0.08,5.558418258213481,-0.16458514348240885,0.1415864477359842,1,6,0
136,nm0000202,13,1.3689192665676837,Ryan Phillippe,actor,0.14,3.024560434987407,-0.1487020214862357,0.2319391921255331,4,6,1
137,nm0000203,3,4.401402369444444,River Phoenix,actor,0.64,0.20916285362510245,0.1227909669626629,0.9848787287051072,7,4,1
138,nm0000204,22,2.1471345949588407,Natalie Portman,actress,0.33,5.558418258213481,-0.07902974368814154,0.5180562160257713,1,6,0
139,nm0000205,13,1.048312923807034,Parker Posey,actress,0.02,3.024560434987407,-0.17740535507750557,0.0512337033464353,4,6,0
140,nm0000206,35,1.464357274025751,Keanu Reeves,actor,0.16,9.218435113984478,-0.14015762107990903,0.26205677358871604,1,3,1
141,nm0000207,15,1.1614998698000805,Christina Ricci,actress,0.06,3.587639951259868,-0.16727192277844186,0.11146886627280123,4,6,0
142,nm0000208,1,0.436928,Molly Ringwald,actress,-0.36,-0.35391666264735844,-0.23214159413503263,-0.521000344454041,0,5,0
143,nm0000209,17,1.633981347473283,Tim Robbins,actor,0.21,4.150719467532329,-0.1249714699783715,0.3373507272466734,1,6,1
144,nm0000210,36,1.8230090894669861,Julia Roberts,actress,0.26,9.499974872120708,-0.10804814185663077,0.4126446809046309,1,3,0
145,nm0000211,7,1.5016302277227556,Mimi Rogers,actress,0.18,1.3353218861700242,-0.13682063774176034,0.292174355051899,4,0,0
146,nm0000212,14,1.2975640951810534,Meg Ryan,actress,0.11,3.306100193123638,-0.15509032706415038,0.18676281993075863,4,6,0
147,nm0000213,14,1.6539937736935542,Winona Ryder,actress,0.22,3.306100193123638,-0.12317979193225137,0.3524095179782649,4,6,0
148,nm0000214,1,1.6019136071428572,Mia Sara,actress,0.2,-0.35391666264735844,-0.1278424395303045,0.322291936515082,0,1,0
149,nm0000215,26,4.822854777477765,Susan Sarandon,actress,0.68,6.684577290758403,0.1605228750604872,1.045113891631473,1,3,0
150,nm0000216,26,1.5341592001929967,Arnold Schwarzenegger,actor,0.18,6.684577290758403,-0.13390837487086757,0.292174355051899,1,3,1
151,nm0000217,1,2.14482544,Martin Scorsese,actor,0.33,-0.35391666264735844,-0.07923647835385907,0.5180562160257713,0,1,1
152,nm0000218,14,1.8586230657245728,Kristin Scott Thomas,actress,0.27,3.306100193123638,-0.10485968391088067,0.4277034716362224,4,6,0
153,nm0000219,7,1.0578534088167388,Steven Seagal,actor,0.03,1.3353218861700242,-0.1765512118890144,0.06629249407802679,4,0,1
154,nm0000221,10,4.004912274643357,Charlie Sheen,actor,0.6,2.1799411605787156,0.0872938917684705,0.9246435657787412,4,0,1
155,nm0000222,4,3.4038145206349206,Brooke Shields,actress,0.53,0.4907026117613329,0.033478645302345844,0.8192320306576009,7,9,0
156,nm0000223,18,1.7899170266975786,Elisabeth Shue,actress,0.25,4.43225922566856,-0.11101081723202925,0.3975858901730394,1,6,0
157,nm0000224,7,1.6452115340126554,Alicia Silverstone,actress,0.22,1.3353218861700242,-0.12396605072260697,0.3524095179782649,4,0,0
158,nm0000225,11,1.0709744071708587,Christian Slater,actor,0.03,2.4614809187149462,-0.17537651150858566,0.06629249407802679,4,0,1
159,nm0000226,27,1.5130949236109272,Will Smith,actor,0.18,6.966117048894634,-0.13579422326796337,0.292174355051899,1,3,1
160,nm0000227,7,3.117804029106388,Mira Sorvino,actress,0.49,1.3353218861700242,0.007872618677116729,0.7589968677312349,4,0,0
161,nm0000228,24,1.9273319738334669,Kevin Spacey,actor,0.29,6.121497774485943,-0.09870829372577185,0.4578210530994053,1,3,1
162,nm0000230,33,4.912491368143845,Sylvester Stallone,actor,0.69,8.655355597712017,0.16854788461494066,1.0601726823630644,1,3,1
163,nm0000232,12,3.0739010299215326,Sharon Stone,actress,0.49,2.743020676851177,0.003942058787348942,0.7589968677312349,4,0,0
164,nm0000233,3,2.4270680841269843,Quentin Tarantino,actor,0.39,0.20916285362510245,-0.053967780616001285,0.6084089604153202,7,9,1
165,nm0000234,32,1.266287178685144,Charlize Theron,actress,0.1,8.373815839575785,-0.15789049552045134,0.17170402919916716,1,3,0
166,nm0000235,11,1.8332501663445944,Uma Thurman,actress,0.26,2.4614809187149462,-0.10713127588504491,0.4126446809046309,4,0,0
167,nm0000236,10,1.1915829202912565,Jennifer Tilly,actress,0.08,2.1799411605787156,-0.1645786390889926,0.1415864477359842,4,0,0
168,nm0000237,25,2.898921307681257,John Travolta,actor,0.46,6.4030375326221725,-0.01172357432496893,0.7138204955364605,1,3,1
169,nm0000239,8,2.7438549064520203,Liv Tyler,actress,0.44,1.6168616443062547,-0.025606402109830735,0.6837029140732775,4,0,0
170,nm0000240,9,1.0472070325780682,Skeet Ulrich,actor,0.02,1.8984014024424851,-0.177504363614228,0.0512337033464353,4,0,1
171,nm0000241,11,2.746057054935065,Jean-Claude Van Damme,actor,0.44,2.4614809187149462,-0.02540924754956202,0.6837029140732775,4,0,1
172,nm0000242,39,1.6843254660553162,Mark Wahlberg,actor,0.23,10.3445941465294,-0.12046424776443872,0.3674683087098564,1,3,1
173,nm0000243,36,1.4432777282173124,Denzel Washington,actor,0.16,9.499974872120708,-0.14204483650453892,0.26205677358871604,1,3,1
174,nm0000244,26,2.23030352586918,Sigourney Weaver,actress,0.35,6.684577290758403,-0.07158377257043681,0.5481737974889542,1,3,0
175,nm0000245,32,2.3313146339430593,Robin Williams,actor,0.37,8.373815839575785,-0.06254042206619274,0.5782913789521372,1,3,1
176,nm0000246,42,1.6474693313083932,Bruce Willis,actor,0.22,11.18921342093809,-0.12376391401999841,0.3524095179782649,1,3,1
177,nm0000249,17,0.6933786281287907,James Woods,actor,-0.16,4.150719467532329,-0.20918201116019813,-0.2198245298222114,1,6,1
178,nm0000250,19,1.494877777712353,Renée Zellweger,actress,0.17,4.71379898380479,-0.13742517295942963,0.27711556432030754,1,6,0
179,nm0000254,2,0.2773545125,Isabelle Adjani,actress,-0.55,-0.072376904511128,-0.2464279335898146,-0.8071173683542793,0,5,0
180,nm0000255,30,3.2026376530023595,Ben Affleck,actor,0.51,7.810736323303325,0.015467626890227027,0.7891144491944179,1,3,1
181,nm0000256,1,2.192431153846154,Jenny Agutter,actress,0.34,-0.35391666264735844,-0.07497442079875692,0.5331150067573628,0,1,0
182,nm0000257,12,1.71590841258849,Alan Alda,actor,0.24,2.743020676851177,-0.11763668096606845,0.3825270994414479,4,0,1
183,nm0000260,11,1.2497102755279035,Joan Allen,actress,0.1,2.4614809187149462,-0.15937459710476612,0.17170402919916716,4,0,0
184,nm0000261,7,12.328357591146085,Karen Allen,actress,1.09,1.3353218861700242,0.83247761299831,1.6625243116267239,4,0,0
185,nm0000262,6,1.4602223347148102,Nancy Allen,actress,0.16,1.0537821280337938,-0.1405278150735762,0.26205677358871604,7,9,0
186,nm0000263,1,1.0571408,Kirstie Alley,actress,0.03,-0.35391666264735844,-0.17661501052883796,0.06629249407802679,0,1,0
187,nm0000266,1,16.067035,Ursula Andress,actress,1.21,-0.35391666264735844,1.1671949611719017,1.8432298004058216,6,8,0
188,nm0000267,12,5.547608124759848,Julie Andrews,actress,0.74,2.743020676851177,0.22540879378342876,1.135466636021022,4,0,0
189,nm0000268,1,1.8757725416666666,Ann-Margret,actress,0.27,-0.35391666264735844,-0.10332432087145114,0.4277034716362224,0,1,0
190,nm0000270,1,0.03531773333333333,Gabrielle Anwar,actress,-1.4,-0.35391666264735844,-0.26809706949634865,-2.0871145805395552,0,2,0
191,nm0000271,6,2.8639113529471754,Anne Archer,actress,0.46,1.0537821280337938,-0.014857955264206359,0.7138204955364605,7,9,0
192,nm0000272,2,0.3821072692307692,Fanny Ardant,actress,-0.42,-0.072376904511128,-0.23704959972667858,-0.6113530888435899,0,5,0
193,nm0000273,21,1.8460835979455044,Alan Arkin,actor,0.27,5.276878500077251,-0.10598232086066892,0.4277034716362224,1,6,1
194,nm0000274,11,1.3375771670444072,David Arquette,actor,0.13,2.4614809187149462,-0.15150802566669264,0.2168804013939416,4,0,1
195,nm0000275,9,1.1497782630714966,Rosanna Arquette,actress,0.06,1.8984014024424851,-0.16832133803722665,0.11146886627280123,4,0,0
196,nm0000276,11,2.387354674990336,Sean Astin,actor,0.38,2.4614809187149462,-0.05752325372573575,0.5933501696837287,4,0,1
197,nm0000277,2,4.758872106031746,Richard Attenborough,actor,0.68,-0.072376904511128,0.15479461670239614,1.045113891631473,0,4,1
198,nm0000278,2,3.4706668,Pernilla August,actress,0.54,-0.072376904511128,0.039463814714247314,0.8342908213891924,0,4,0
199,nm0000279,17,1.0649244756781333,Hank Azaria,actor,0.03,4.150719467532329,-0.17591815145352482,0.06629249407802679,1,6,1
200,nm0000281,1,0.4609694,Scott Baio,actor,-0.34,-0.35391666264735844,-0.22998920900671865,-0.4908827629908581,0,5,1
201,nm0000282,2,0.7488972625,Scott Bairstow,actor,-0.12,-0.072376904511128,-0.20421152346127497,-0.15958936689584544,0,5,1
202,nm0000283,1,1.7574288333333334,Brenda Bakke,actress,0.25,-0.35391666264735844,-0.11391942921980826,0.3975858901730394,0,1,0
